time_step,mean_betweenness_t,median_betweenness_t,std_betweenness_t,mean_total_degree_t,median_total_degree_t,std_total_degree_t,mean_abs_asymmetry_t,mean_pagerank_t,frac_extreme_asymmetry_t,outlier_node_count_t,outlier_node_fraction_t,degree_skewness_t,degree_kurtosis_t,n_nodes,n_edges,density,n_weak_components,z_mean_betweenness_t,z_mean_total_degree_t,z_mean_abs_asymmetry_t,z_mean_pagerank_t,z_frac_extreme_asymmetry_t,z_outlier_node_fraction_t,z_degree_skewness_t,z_degree_kurtosis_t,z_density,z_n_weak_components,timestep_anomaly_score,timestep_anomaly_flag,,SCORE
1,5.59E-06,0,2.84E-05,2.325888325,2,4.941119469,0.452999805,0.000126904,0.375,290,0.03680203,37.10576177,1766.369856,7880,9164,0.0001476,1,-0.283627223,0.441744458,-1.022718991,-1.123621869,-1.243960356,-1.167370578,2.466675001,2.501870533,-1.173127116,0,2.501870533,1,,2.50
2,4.47E-05,0,0.000145156,2.306778169,2,2.543409227,0.524067678,0.00022007,0.457746479,428,0.094190141,10.55024238,186.6804474,4544,5241,0.000253883,1,-0.185066468,0.31756267,-0.08446783,-0.468967439,-0.248667504,1.052252338,-0.92035147,-0.634126198,-0.440110975,0,1.052252338,0,,1.05
3,0.001240165,1.81E-06,0.002634938,2.51200725,2,2.449190489,0.401716545,0.000151035,0.311131249,1086,0.164023561,6.319671396,53.59338138,6621,8316,0.000189729,1,2.826370707,1.651184141,-1.699770045,-0.954060648,-2.012187743,3.753227496,-1.459940084,-0.898330415,-0.882574032,0,3.753227496,1,,3.75
4,0.000283143,0,0.000758829,2.873704549,2,4.971955673,0.480602424,0.000175654,0.399613561,531,0.09327244,23.56814677,790.1462986,5693,8180,0.000252434,1,0.415555335,4.001568812,-0.658304133,-0.781065543,-0.947903035,1.016758048,0.740018494,0.563873185,-0.450104947,0,4.001568812,1,,4.00
5,8.65E-06,0,2.49E-05,2.535058063,2,4.35161423,0.49157681,0.000146994,0.415551962,531,0.0780538,26.80666784,1109.805428,6803,8623,0.000186347,1,-0.275927241,1.800973143,-0.513418264,-0.982452776,-0.756192431,0.428140616,1.153075999,1.198459945,-0.905900149,0,1.800973143,0,,1.80
6,0.002569909,0.000869279,0.002980355,2.422365989,2,3.621186501,0.336342001,0.000231054,0.262707948,104,0.024029575,25.28174977,890.1674414,4328,5242,0.000279913,1,6.176104091,1.068676489,-2.562856839,-0.391792057,-2.594633858,-1.661375955,0.958580165,0.762434988,-0.260583867,0,6.176104091,1,,6.18
7,1.53E-05,0,6.05E-05,2.398478836,2,4.78410469,0.530661552,0.000165344,0.462797619,396,0.06547619,27.42322907,1128.968443,6048,7253,0.00019832,1,-0.259168597,0.913452775,0.002585703,-0.853513476,-0.187911279,-0.058328614,1.231715366,1.236502331,-0.823322297,0,1.236502331,0,,1.24
8,6.51E-06,0,1.99E-05,2.327125869,2,2.985191251,0.592853468,0.000224366,0.540498093,423,0.094906888,8.27840492,133.5102525,4457,5186,0.000261123,1,-0.281313277,0.449786281,0.823654845,-0.438782597,0.746687115,1.079974256,-1.210113214,-0.739679578,-0.390177217,0,1.210113214,0,,1.08
9,2.13E-05,0,5.88E-05,2.377502002,2,3.128992944,0.46124011,0.00020016,0.40552442,463,0.092674139,10.19432649,179.8569392,4996,5939,0.000237988,1,-0.243935806,0.77714092,-0.913928976,-0.608870846,-0.876805922,0.99361734,-0.965746799,-0.647672214,-0.549733548,0,0.99361734,0,,0.99
10,0.000172138,2.98E-07,0.000419552,2.553292701,2,6.052779121,0.405222785,0.000148655,0.31128289,510,0.075813884,33.35891683,1320.283766,6727,8588,0.000189808,1,0.135923503,1.919465636,-1.653480023,-0.970783543,-2.010363774,0.34150651,1.988783276,1.616301184,-0.882029039,0,2.010363774,1,,1.99
11,6.62E-06,0,1.77E-05,2.167597765,2,4.630046367,0.524164718,0.000232775,0.481843575,237,0.055167598,24.73799653,862.6019295,4296,4656,0.00025234,1,-0.281033832,-0.58686069,-0.083186695,-0.379698639,0.041177675,-0.45703818,0.889227103,0.70771198,-0.450753042,0,0.889227103,0,,0.89
12,3.28E-05,0,0.000108147,2.162188569,2,4.041944875,0.590747683,0.00048852,0.539325843,159,0.077674646,18.35118649,474.2476725,2047,2213,0.000528394,1,-0.215107956,-0.622010781,0.795853887,1.417342211,0.732587032,0.413475926,0.074620755,-0.063248231,1.453162227,0,1.453162227,0,,1.45
13,2.58E-05,0,7.08E-05,2.132067138,2,3.550420188,0.443578928,0.000220848,0.404372792,304,0.067137809,20.35519222,547.9008474,4528,4827,0.000235483,1,-0.232800208,-0.817746136,-1.147095158,-0.463503248,-0.890657957,0.005938478,0.330221873,0.082967927,-0.567008452,0,1.147095158,0,,0.33
14,0.00015741,4.95E-07,0.000325564,2.055390702,2,2.479983823,0.484668976,0.00049456,0.447082097,233,0.115232443,10.59600639,152.7925564,2022,2078,0.000508508,1,0.098822492,-1.316005644,-0.604616758,1.459783798,-0.376941036,1.866113885,-0.914514495,-0.701400381,1.31601258,0,1.866113885,0,,1.87
15,0.000149933,5.50E-07,0.000243165,2.101126683,2,2.127258712,0.388093762,0.000274801,0.34652377,332,0.091233855,12.12420893,194.3252819,3639,3823,0.000288775,1,0.079987753,-1.018803678,-1.879620551,-0.084394421,-1.586478712,0.937910904,-0.719599743,-0.618949685,-0.199462998,0,1.879620551,0,,0.94
16,0.000151196,6.73E-07,0.000245214,2.097478992,2,2.477995364,0.415552288,0.000336134,0.379495798,290,0.097478992,14.72995243,328.9729397,2975,3120,0.000352636,1,0.083168812,-1.042507141,-1.517108016,0.346578182,-1.189883904,1.179456535,-0.387249919,-0.351647384,0.240979199,0,1.517108016,0,,1.18
17,2.06E-06,0,7.24E-06,2.156573117,2,2.454492206,0.585926135,0.000295421,0.538257016,210,0.062038405,8.130876801,86.30962402,3385,3650,0.000318643,1,-0.292522512,-0.658501162,0.732198928,0.060497309,0.719730952,-0.191293229,-1.228929703,-0.833382186,0.006530584,0,1.228929703,0,,0.73
18,0.000189409,0,0.000414447,2.140688259,2,2.338114426,0.537266877,0.000506073,0.483299595,211,0.106781377,8.347797127,89.8466611,1976,2115,0.000541946,1,0.179431365,-0.761724287,0.089790422,1.540682276,0.058691,1.5392486,-1.201262578,-0.826360466,1.546630983,0,1.546630983,0,,1.55
19,1.01E-05,0,2.31E-05,2.189389618,2,2.21215971,0.478795982,0.000285225,0.422418711,291,0.08300057,11.15284956,195.3642799,3506,3838,0.000312324,1,-0.272154669,-0.445252677,-0.682153115,-0.011144311,-0.67359767,0.619468845,-0.843491874,-0.616887068,-0.037049664,0,0.843491874,0,,0.62
20,2.79E-06,0,9.28E-06,2.216266605,2,3.329437278,0.593951541,0.000233046,0.543463062,249,0.058028432,16.49980865,472.9241072,4291,4755,0.000258306,1,-0.290688311,-0.270600398,0.838151811,-0.377792749,0.782350418,-0.346388565,-0.161513423,-0.065875771,-0.409603051,0,0.838151811,0,,0.84
21,5.02E-06,0,1.46E-05,2.2386203,2,3.962229924,0.589249354,0.000282725,0.527283008,259,0.073225898,23.24554531,775.3464709,3537,3959,0.000316547,1,-0.285066333,-0.125341414,0.776072668,-0.028710005,0.587733169,0.241409913,0.698872257,0.534492592,-0.007922609,0,0.776072668,0,,0.78
22,2.39E-05,0,9.88E-05,2.380047506,2,7.263024003,0.537115136,0.000169664,0.46912114,348,0.059043095,48.95011036,3028.352672,5894,7014,0.000201939,1,-0.237558701,0.793682139,0.08778711,-0.823157135,-0.111850576,-0.307144035,3.977363668,5.007156674,-0.79836387,0,5.007156674,1,,5.01
23,1.87E-05,0,6.81E-05,2.20120048,2,3.134106099,0.535899543,0.000240096,0.479711885,275,0.066026411,17.82617649,502.7010851,4165,4584,0.000264313,1,-0.25056488,-0.368503224,0.071738633,-0.328253704,0.015537231,-0.037047531,0.0076583,-0.006762564,-0.368172868,0,0.368503224,0,,0.07
24,0.000120245,0,0.00041542,2.231707317,2,2.434928054,0.497238281,0.00021777,0.433144599,360,0.078397213,10.6901333,160.9967985,4592,5124,0.000243052,1,0.005201707,-0.17026342,-0.438674473,-0.485131543,-0.544584324,0.441422928,-0.902509068,-0.685113334,-0.514806131,0,0.902509068,0,,0.44
25,3.68E-06,0,9.19E-06,2.263612792,2,5.639447721,0.636292076,0.000432152,0.598530683,190,0.082108902,18.97216117,466.5680535,2314,2619,0.000489324,1,-0.288443738,0.037065024,1.397139359,1.021264253,1.444715873,0.58498144,0.153823034,-0.078493797,1.183700375,0,1.444715873,0,,1.44
26,4.10E-05,0,0.000165445,2.132382085,2,3.711855131,0.623493834,0.000396354,0.585414189,152,0.060245739,12.80959835,201.3241983,2523,2690,0.000422756,1,-0.194454224,-0.815699544,1.228174609,0.769718905,1.286947806,-0.260628871,-0.632181678,-0.605055448,0.724589763,0,1.286947806,0,,1.29
27,2.54E-05,0,6.73E-05,2.145087236,2,4.198550631,0.612936289,0.000918274,0.57943067,79,0.072543618,13.46636916,246.9998726,1089,1168,0.000985794,1,-0.233828252,-0.733138816,1.088791961,4.437088081,1.214976721,0.215021109,-0.548413778,-0.514380177,4.607794878,0,4.607794878,1,,4.61
28,3.88E-05,0,0.000107224,2.077434967,2,3.012693919,0.561337422,0.000604961,0.523895947,109,0.065940714,11.55460539,172.4167512,1653,1717,0.000628764,1,-0.200007197,-1.172757405,0.407574194,2.235535918,0.546992849,-0.040362057,-0.792249886,-0.662442463,2.145399256,0,2.235535918,1,,2.24
